ARGUMENTS	VALUES	GROUPS
data	genind	fct.call.args
strata	NULL	fct.call.args
output	genepop	fct.call.args
filename	NULL	fct.call.args
parallel.core	7	fct.call.args
verbose	TRUE	fct.call.args
blacklist.genotypes	NULL	default...
blacklist.id	NULL	default...
filter.common.markers	TRUE	default...
filter.monomorphic	TRUE	default...
internal	FALSE	default...
keep.allele.names	FALSE	default...
parameters	NULL	default...
path.folder	NULL	default...
vcf.metadata	TRUE	default...
vcf.stats	TRUE	default...
whitelist.markers	NULL	default...
